step,epoch,lr,train_loss,val_loss,elapsed_s,peak_memory_gb
5,0.625,4.4728512734909844e-05,3.04197,2.96285,12.1,3.28
10,1.25,2.7064483636808313e-05,2.7427,2.74413,20.4,3.36
15,1.875,8.067960709356478e-06,2.54622,2.65947,29.8,3.36
20,2.5,0.0,2.60701,2.64183,37.7,3.36
