step,epoch,lr,train_loss,val_loss,elapsed_s,peak_memory_gb
5,0.0781,8.945702546981969e-05,1.31981,1.47524,8.7,3.99
10,0.1562,5.4128967273616625e-05,1.24915,1.40802,16.5,3.97
15,0.2344,1.6135921418712953e-05,1.09397,1.39207,24.5,3.81
20,0.3125,0.0,1.55195,1.39003,31.1,3.81
15,0.2344,1.6135921418712953e-05,1.09404,1.39217,6.8,3.81
20,0.3125,0.0,1.55244,1.39008,13.2,3.82
