step,epoch,lr,train_loss,val_loss,elapsed_s,peak_memory_gb
30,1.0,4.4728512734909844e-05,2.24217,2.32337,51.6,3.37
60,2.0,2.7064483636808313e-05,2.01473,1.99031,101.3,3.37
90,3.0,8.067960709356478e-06,1.76099,1.88071,150.4,3.37
120,4.0,0.0,1.724,1.8652,199.7,3.37
