step,epoch,lr,train_loss,val_loss,elapsed_s,peak_memory_gb
30,0.9375,4.4728512734909844e-05,2.21753,2.33505,125.6,3.32
60,1.875,2.7064483636808313e-05,1.83631,2.01012,253.9,3.32
90,2.8125,8.067960709356478e-06,1.85341,1.89891,383.9,3.32
120,3.75,0.0,1.55349,1.88119,512.5,3.32
