step,epoch,lr,train_loss,val_loss,elapsed_s,peak_memory_gb
5,0.625,4.4728512734909844e-05,3.10257,2.96446,24.4,3.27
10,1.25,2.7064483636808313e-05,2.94718,2.75414,43.5,3.28
15,1.875,8.067960709356478e-06,2.5579,2.66842,64.6,3.28
20,2.5,0.0,2.81406,2.65047,84.3,3.28
